contractSymbol,expiry,option_type,strike,bid,ask,lastPrice,volume,openInterest,impliedVolatility,delta,gamma,theta,vega,inTheMoney,snapshot_time,snapshot_str,ticker
AAPL260501C00210000,2026-05-01,call,210.0,58.9,62.35,60.83,1.0,57,2.0185596411132813,0.9621,0.002,-0.8606,0.0165,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00215000,2026-05-01,call,215.0,53.9,57.35,54.97,1.0,28,1.8710943945312501,0.9586,0.0024,-0.8583,0.0178,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00220000,2026-05-01,call,220.0,49.65,52.05,46.74,4.0,214,1.0722702636718753,0.9961,0.0005,-0.0929,0.0023,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00225000,2026-05-01,call,225.0,44.0,47.0,42.75,1.0,37,1.4853541357421873,0.959,0.003,-0.683,0.0176,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00230000,2026-05-01,call,230.0,39.7,42.1,40.06,7.0,295,0.91211025390625,0.9929,0.0011,-0.1215,0.004,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00232500,2026-05-01,call,232.5,36.55,39.9,40.92,1.0,33,0.6250037500000001,0.9995,0.0001,-0.0369,0.0003,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00235000,2026-05-01,call,235.0,34.7,37.15,36.07,1.0,166,0.8261736132812498,0.9906,0.0015,-0.1366,0.0051,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00237500,2026-05-01,call,237.5,32.1,34.75,32.8,13.0,27,0.773439765625,0.9898,0.0017,-0.1371,0.0054,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00240000,2026-05-01,call,240.0,30.0,31.5,30.02,10.0,3855,0.5625043750000001,0.9982,0.0005,-0.0487,0.0011,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00242500,2026-05-01,call,242.5,27.85,29.45,28.58,5.0,108,0.770510107421875,0.9752,0.0038,-0.2566,0.0116,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00245000,2026-05-01,call,245.0,24.75,27.3,25.4,1.0,369,0.6640658593750002,0.9803,0.0036,-0.1918,0.0096,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00247500,2026-05-01,call,247.5,23.1,24.15,25.28,1.0,23,0.64648791015625,0.9715,0.005,-0.2442,0.0131,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00250000,2026-05-01,call,250.0,20.85,21.65,21.24,843.0,1531,0.6264685791015626,0.9595,0.0069,-0.3057,0.0174,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00252500,2026-05-01,call,252.5,18.55,19.7,19.68,5.0,81,0.6538120556640626,0.929,0.0104,-0.4763,0.0272,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00255000,2026-05-01,call,255.0,16.5,17.0,16.71,65.0,3605,0.6108437353515627,0.9116,0.0131,-0.5218,0.0321,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00257500,2026-05-01,call,257.5,13.85,15.1,14.4,77.0,586,0.5795940478515625,0.8837,0.0168,-0.5988,0.0392,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00260000,2026-05-01,call,260.0,12.3,12.6,12.55,695.0,5187,0.5751995605468749,0.8354,0.0215,-0.7435,0.0497,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00262500,2026-05-01,call,262.5,10.25,10.7,10.33,193.0,867,0.5607954077148438,0.7791,0.0264,-0.8613,0.0595,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00265000,2026-05-01,call,265.0,8.6,8.85,8.6,1195.0,5906,0.5571333349609376,0.7068,0.0308,-0.9854,0.0689,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00267500,2026-05-01,call,267.5,7.05,7.2,7.12,5141.0,2692,0.5515181567382813,0.6253,0.0343,-1.0698,0.076,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00270000,2026-05-01,call,270.0,5.65,5.75,5.7,17379.0,9753,0.5459029785156251,0.5366,0.0363,-1.1057,0.0796,True,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00272500,2026-05-01,call,272.5,4.4,4.5,4.45,7775.0,4129,0.5393112475585939,0.445,0.0366,-1.0836,0.0792,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00275000,2026-05-01,call,275.0,3.4,3.45,3.43,9230.0,21732,0.5366257275390626,0.356,0.0347,-1.0147,0.0747,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00277500,2026-05-01,call,277.5,2.57,2.64,2.6,6802.0,7194,0.5373581420898439,0.2756,0.031,-0.9092,0.0669,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00280000,2026-05-01,call,280.0,1.9,1.93,1.92,8764.0,13229,0.534184345703125,0.2042,0.0265,-0.7661,0.0568,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00282500,2026-05-01,call,282.5,1.38,1.42,1.4,2155.0,8543,0.5351608984375,0.147,0.0214,-0.622,0.0461,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00285000,2026-05-01,call,285.0,0.99,1.02,1.0,6169.0,10199,0.5361374511718751,0.1021,0.0166,-0.4824,0.0357,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00287500,2026-05-01,call,287.5,0.7,0.73,0.71,1331.0,2407,0.5385788330078126,0.0691,0.0123,-0.3612,0.0266,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00290000,2026-05-01,call,290.0,0.49,0.51,0.51,3513.0,8707,0.5410202148437502,0.0453,0.0088,-0.2601,0.0191,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00292500,2026-05-01,call,292.5,0.34,0.36,0.36,1698.0,1564,0.5454147021484376,0.0293,0.0061,-0.1836,0.0134,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00295000,2026-05-01,call,295.0,0.23,0.26,0.23,2125.0,9591,0.5507857421875001,0.0187,0.0042,-0.1271,0.0092,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00297500,2026-05-01,call,297.5,0.16,0.18,0.18,346.0,718,0.5556685058593751,0.0117,0.0027,-0.0855,0.0061,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00300000,2026-05-01,call,300.0,0.12,0.13,0.13,6145.0,9823,0.5664105859375,0.0077,0.0019,-0.0604,0.0042,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00302500,2026-05-01,call,302.5,0.08,0.09,0.09,1128.0,358,0.5722699023437501,0.0048,0.0012,-0.0398,0.0028,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00305000,2026-05-01,call,305.0,0.06,0.07,0.07,1271.0,2034,0.585941640625,0.0032,0.0008,-0.029,0.002,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00310000,2026-05-01,call,310.0,0.03,0.04,0.03,763.0,1846,0.6054726953125001,0.0014,0.0004,-0.0137,0.0009,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00315000,2026-05-01,call,315.0,0.01,0.03,0.02,321.0,663,0.6250037500000001,0.0006,0.0002,-0.0065,0.0004,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00320000,2026-05-01,call,320.0,0.01,0.02,0.01,93.0,824,0.6640658593750002,0.0004,0.0001,-0.0045,0.0003,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00325000,2026-05-01,call,325.0,0.0,0.03,0.02,34.0,268,0.7187528125,0.0003,0.0001,-0.0044,0.0002,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00330000,2026-05-01,call,330.0,0.0,0.07,0.02,18.0,160,0.8437515624999999,0.0009,0.0002,-0.0124,0.0006,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00335000,2026-05-01,call,335.0,0.0,0.1,0.01,52.0,261,0.937500625,0.0012,0.0002,-0.019,0.0008,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00340000,2026-05-01,call,340.0,0.0,0.23,0.03,30.0,38,1.0996138769531252,0.0029,0.0004,-0.0494,0.0018,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00345000,2026-05-01,call,345.0,0.0,0.02,0.01,1.0,6,0.8906260937499999,0.0001,0.0,-0.0024,0.0001,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00350000,2026-05-01,call,350.0,0.0,0.04,0.01,15.0,11,1.0078174609375,0.0003,0.0001,-0.0062,0.0002,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00365000,2026-05-01,call,365.0,0.0,0.01,0.02,4.0,109,1.0312548437500002,0.0001,0.0,-0.0011,0.0,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00375000,2026-05-01,call,375.0,0.0,0.01,0.05,2.0,2,1.09375453125,0.0,0.0,-0.0008,0.0,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00390000,2026-05-01,call,390.0,0.0,0.01,0.38,3.0,3,1.21875390625,0.0,0.0,-0.0008,0.0,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501C00400000,2026-05-01,call,400.0,0.0,0.01,0.01,4.0,56,1.3125034374999998,0.0,0.0,-0.001,0.0,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501P00110000,2026-05-01,put,110.0,0.0,0.01,0.01,20.0,100,3.0000025,-0.0,0.0,-0.001,0.0,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501P00120000,2026-05-01,put,120.0,0.0,0.01,0.06,1.0,1,2.68750328125,-0.0,0.0,-0.0008,0.0,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501P00125000,2026-05-01,put,125.0,0.0,0.01,0.01,2000.0,2000,2.56250359375,-0.0,0.0,-0.0009,0.0,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501P00130000,2026-05-01,put,130.0,0.0,0.01,0.01,2000.0,2000,2.43750390625,-0.0,0.0,-0.0009,0.0,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501P00135000,2026-05-01,put,135.0,0.0,0.01,0.01,5.0,21942,2.3125042187499996,-0.0,0.0,-0.0008,0.0,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501P00140000,2026-05-01,put,140.0,0.0,0.39,0.01,20.0,10,3.14843962890625,-0.0016,0.0001,-0.0818,0.001,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501P00145000,2026-05-01,put,145.0,0.0,0.39,0.01,20.0,102,2.99219001953125,-0.0017,0.0001,-0.0815,0.0011,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
AAPL260501P00150000,2026-05-01,put,150.0,0.0,0.05,0.01,30.0,7,2.2656293359374997,-0.0002,0.0,-0.0068,0.0001,False,2026-04-28 20:37:27.030209,20260428_203727,AAPL
